,Park_Name,Death Total,activities,deaths
170,Gateway Arch National Park,0,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Boat Tour', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
171,Gateway National Recreation Area,51,"['Biking', 'Boating', 'Camping', 'Fishing', 'Guided Tours', 'Paddling', 'Kayaking', 'Swimming', 'Saltwater Swimming']",1
172,Gauley River National Recreation Area,0,"['Boating', 'Camping', 'Car or Front Country Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Paddling', 'Kayaking', 'Whitewater Rafting', 'Junior Ranger Program']",0
173,General Grant National Memorial,0,"['Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
174,George Rogers Clark National Historical Park,0,"['Astronomy', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Arts and Crafts', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
175,George Washington Birthplace National Monument,0,"['Arts and Culture', 'Biking', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",0
176,George Washington Carver National Monument,0,"['Arts and Culture', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Junior Ranger Program', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
177,George Washington Memorial Parkway,16,"['Arts and Culture', 'Live Music', 'Biking', 'Road Biking', 'Food', 'Picnicking', 'Wildlife Watching', 'Birdwatching']",1
178,Gettysburg National Military Park,0,"['Arts and Culture', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Camping', 'Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
179,Gila Cliff Dwellings National Monument,0,"['Astronomy', 'Camping', 'Car or Front Country Camping', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
180,Glacier Bay National Park & Preserve,0,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'ATV Off-Roading', 'Boating', 'Motorized Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Climbing', 'Mountain Climbing', 'Fishing', 'Food', 'Flying', 'Guided Tours', 'Boat Tour', 'Hiking', 'Front-Country Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Kayaking', 'Whitewater Rafting', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
181,Glacier National Park,37,"['Arts and Culture', 'Cultural Demonstrations', 'Live Music', 'Theater', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'Climbing', 'Mountain Climbing', 'Fishing', 'Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Paddling', 'Canoe or Kayak Camping', 'Stand Up Paddleboarding', 'Whitewater Rafting', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",1
182,Glen Canyon National Recreation Area,93,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Jet Skiing', 'Boat Tour', 'Camping', 'Fishing', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Auto', 'Boat Tour', 'Hands-On', 'Volunteer Vacation', 'Hiking', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Swimming', 'Shopping', 'Bookstore and Park Store']",1
183,Glen Echo Park,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Theater', 'Guided Tours']",0
184,Gloria Dei Church National Historic Site,0,['Museum Exhibits'],0
185,Golden Gate National Recreation Area,86,"['Arts and Culture', 'Biking', 'Mountain Biking', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'Fishing', 'Saltwater Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Surfing', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",1
186,Golden Spike National Historical Park,0,"['Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
187,Governors Island National Monument,0,"['Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
188,Grand Canyon National Park,131,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Compass and GPS', 'Fishing', 'Food', 'Flying', 'Guided Tours', 'Hands-On', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Living History', 'Paddling', 'Whitewater Rafting', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",1
189,Grand Canyon-Parashant National Monument,0,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Compass and GPS', 'Orienteering', 'Flying', 'Helicopter Flying', 'Fixed Wing Flying', 'Hiking', 'Backcountry Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits']",0
190,Grand Portage National Monument,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Camping', 'Backcountry Camping', 'Group Camping', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
191,Grand Teton National Park,54,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Climbing', 'Rock Climbing', 'Mountain Climbing', 'Ice Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Auto', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowmobiling', 'Snowshoeing', 'Water Skiing', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",1
192,Grant-Kohrs Ranch National Historic Site,0,"['Guided Tours', 'Hiking', 'Front-Country Hiking', 'Living History', 'Wildlife Watching', 'Birdwatching']",0
193,Great Basin National Park,0,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Caving', 'Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Gathering and Foraging', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Downhill Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
194,Great Egg Harbor River,0,"['Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Fishing', 'Freshwater Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Tubing', 'River Tubing', 'Wildlife Watching', 'Birdwatching']",0
195,Great Falls Park,0,"['Guided Tours', 'Hiking', 'Paddling', 'Kayaking', 'Park Film']",0
196,Great Sand Dunes National Park & Preserve,0,"['Arts and Culture', 'Craft Demonstrations', 'Live Music', 'Auto and ATV', 'Auto Off-Roading', 'Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Climbing', 'Mountain Climbing', 'Compass and GPS', 'Orienteering', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Hands-On', 'Arts and Crafts', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Junior Ranger Program', 'Tubing', 'River Tubing', 'Skiing', 'Cross-Country Skiing', 'Downhill Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Water Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
197,Great Smoky Mountains National Park,82,"['Arts and Culture', 'Live Music', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hands-On', 'Citizen Science', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",1
198,Green Springs,0,"['Auto and ATV', 'Scenic Driving', 'Biking']",0
199,Greenbelt Park,0,"['Camping', 'Group Camping', 'RV Camping', 'Food', 'Picnicking', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Playground', 'Wildlife Watching']",0
200,Guadalupe Mountains National Park,0,"['Auto and ATV', 'Auto Off-Roading', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits']",0
201,Guilford Courthouse National Military Park,0,"['Arts and Culture', 'Theater', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Living History', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",0
202,Gulf Islands National Seashore,24,"['Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Jet Skiing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Living History', 'Historic Weapons Demonstration', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",1
203,Hagerman Fossil Beds National Monument,0,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
204,Haleakala National Park,12,"['Camping', 'Backcountry Camping', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Hiking', 'Junior Ranger Program', 'Swimming', 'Shopping']",1
205,Hamilton Grange National Memorial,0,"['Arts and Culture', 'Guided Tours', 'Hands-On', 'Living History', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",0
206,Hampton National Historic Site,0,"['Arts and Culture', 'Craft Demonstrations', 'Live Music', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Arts and Crafts', 'Hiking', 'Living History', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
207,Harmony Hall,0,"['Wildlife Watching', 'Birdwatching']",0
208,Harpers Ferry National Historical Park,0,"['Guided Tours', 'Hiking', 'Living History', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",0
209,Harriet Tubman National Historical Park,0,"['Food', 'Dining', 'Picnicking', 'Museum Exhibits', 'Shopping', 'Gift Shop and Souvenirs']",0
210,Harriet Tubman Underground Railroad National Historical Park,0,"['Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Park Film', 'Museum Exhibits']",0
211,Harry S Truman National Historic Site,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
212,Hawaii Volcanoes National Park,11,"['Arts and Culture', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",1
213,Herbert Hoover National Historic Site,0,"['Arts and Culture', 'Craft Demonstrations', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits']",0
214,Historic Jamestowne Part of Colonial National Historical Park,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'First Person Interpretation', 'Junior Ranger Program']",0
215,Home Of Franklin D Roosevelt National Historic Site,0,"['Compass and GPS', 'Geocaching', 'Guided Tours', 'Hands-On', 'Citizen Science', 'Junior Ranger Program']",0
216,Homestead National Historical Park,0,"['Arts and Culture', 'Compass and GPS', 'Geocaching', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Hunting and Gathering', 'Gathering and Foraging', 'Living History', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping']",0
217,Honouliuli National Historic Site,0,"['Shopping', 'Bookstore and Park Store']",0
218,Hopewell Culture National Historical Park,0,"['Arts and Culture', 'Biking', 'Road Biking', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
219,Hopewell Furnace National Historic Site,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Biking', 'Compass and GPS', 'Geocaching', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Volunteer Vacation', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Gathering and Foraging', 'Living History', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
220,Horseshoe Bend National Military Park,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Hands-On', 'Arts and Crafts', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
221,Hot Springs National Park,0,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Camping', 'Car or Front Country Camping', 'RV Camping', 'Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
222,Hovenweep National Monument,0,"['Astronomy', 'Stargazing', 'Camping', 'Hiking', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
223,Hubbell Trading Post National Historic Site,0,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",0
224,Ice Age Floods National Geologic Trail,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto']",0
225,Ice Age National Scenic Trail,0,"['Camping', 'Backcountry Camping', 'Fishing', 'Hands-On', 'Volunteer Vacation', 'Hiking', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching']",0
226,Independence National Historical Park,0,"['Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
227,Indiana Dunes National Lakeshore,19,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Boating', 'Camping', 'RV Camping', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Horse Trekking', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Playground', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",1
228,Isle Royale National Park,0,"['Arts and Culture', 'Astronomy', 'Stargazing', 'Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Group Camping', 'Fishing', 'Freshwater Fishing', 'Food', 'Dining', 'Flying', 'Guided Tours', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'SCUBA Diving', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
229,Iñupiat Heritage Center,0,"['Arts and Culture', 'Hunting and Gathering']",0
230,James A Garfield National Historic Site,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Reenactments', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
231,Jean Lafitte National Historical Park and Preserve,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Fishing', 'Freshwater Fishing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Arts and Crafts', 'Hunting and Gathering', 'Hunting', 'Living History', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
232,Jewel Cave National Monument,0,"['Caving', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
233,Jimmy Carter National Historical Park,0,"['Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
234,John Day Fossil Beds National Monument,0,"['Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Bookstore and Park Store']",0
235,John Fitzgerald Kennedy National Historic Site,0,"['Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",0
236,John Muir National Historic Site,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Park Film', 'Museum Exhibits']",0
237,Johnstown Flood National Memorial,0,"['Food', 'Picnicking', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Hiking', 'Backcountry Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
238,Joshua Tree National Park,22,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'Climbing', 'Rock Climbing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",1
239,Juan Bautista de Anza National Historic Trail,0,"['Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
240,Kalaupapa National Historical Park,0,"['Guided Tours', 'Living History', 'Museum Exhibits']",0
241,Kaloko-Honokōhau National Historical Park,0,"['Arts and Culture', 'Biking', 'Fishing', 'Saltwater Fishing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
242,Katahdin Woods and Waters National Monument,0,"['Biking', 'Fishing', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Skiing', 'Cross-Country Skiing', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching']",0
243,Katmai National Park & Preserve,0,"['Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Flying', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoe or Kayak Camping', 'Junior Ranger Program', 'Wildlife Watching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
244,Kenai Fjords National Park,0,"['Astronomy', 'Stargazing', 'Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Climbing', 'Mountain Climbing', 'Ice Climbing', 'Dog Sledding', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Saltwater Fishing', 'Food', 'Flying', 'Helicopter Flying', 'Fixed Wing Flying', 'Guided Tours', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Paddling', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
245,Kenilworth Park & Aquatic Gardens,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",0
246,Kennesaw Mountain National Battlefield Park,0,"['Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits']",0
247,Keweenaw National Historical Park,0,"['Biking', 'Mountain Biking', 'Road Biking', 'Compass and GPS', 'Geocaching', 'Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",0
248,Kings Mountain National Military Park,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Junior Ranger Program', 'Park Film']",0
